sentence_id,stage,t_start,t_end,duration_ms,energy_j,mean_cpu,peak_cpu,peak_temp,throttled_any,amp_energy_j,amp_energy_wh,amp_mean_w,amp_peak_w,cpu_energy_wh,cpu_mean_w,mem_energy_wh,mem_mean_w
REF_0000,front_end,6964.866081356,6964.875759656,9.678299999904993,,,,,,,,,,,,,
REF_0000,acoustic,6964.875759656,6965.349348777,473.5891210002592,2.805071376642401,96.05020302694722,100.0,51.25,False,0.09582321933719821,2.6617560926999503e-05,0.316640625,0.316953125,0.00025483131566115294,2.8459770196384997,6.168540248071483e-05,0.6873592995008699
REF_0000,vocoder,6965.349348777,6966.041184891,691.8361139996705,6.414679094591892,96.05779726722325,97.5609756097561,54.0,False,0.18990731516420684,5.275203199005745e-05,0.31649553571428574,0.316875,0.0007315759332284655,4.5579743723718575,0.00012220883687193116,0.7294338761330629
REF_0000,write,6966.041184891,6966.112843807,71.65891600016039,,60.526315789473685,60.526315789473685,52.35,False,,,0.3165625,0.3165625,,1.9518556898080002,,0.70414835177284
A1_0001,front_end,7024.86620855,7024.866811747,0.6031969996911357,,,,,,,,,,,,,
A1_0001,acoustic,7024.866811747,7025.108730221,241.9184740001583,1.924277873464447,68.9217219095268,97.43589743589743,50.15,False,0.06427516309762854,1.7854211971563483e-05,0.3226015625,0.32313281250000003,0.00018556805279420433,3.556432941356333,4.254977934215993e-05,0.7479667589437201
A1_0001,vocoder,7025.108730221,7025.326729583,217.99936200022785,0.883334648808695,93.796992481203,94.73684210526316,51.25,False,0.03230970176870068,8.974917157972411e-06,0.32317265625,0.3232125,7.542207116875479e-05,2.7158302021575,1.580651439013374e-05,0.56916773175736
A1_0001,write,7025.326729583,7025.368076428,41.34684499967989,,,,,,,,,,,,,
A2_0002,front_end,7084.86628599,7084.866958267,0.672277000376198,,,,,,,,,,,,,
A2_0002,acoustic,7084.866958267,7085.220491085,353.53281799962133,3.081915575705657,75.56872951609793,97.61904761904762,52.35,False,0.09636806383802753,2.6768906621674313e-05,0.32261484375000005,0.3232921875,0.0003407895136809804,3.71788975000975,5.492797658884181e-05,0.652938837340635
A2_0002,vocoder,7085.220491085,7085.671961759,451.4706740001202,3.323991642726186,95.08273703041145,97.43589743589743,52.9,False,0.09624535163434651,2.6734819898429587e-05,0.32315273437500003,0.32353125,0.00039129291602460714,4.52368917693575,6.169482090210715e-05,0.7205524553670749
A2_0002,write,7085.671961759,7085.727313338,55.351579000671336,,82.5,82.5,53.45,False,,,0.323690625,0.323690625,,2.410540255098,,0.69867111716828
A3_0003,front_end,7144.86639358,7144.867168422,0.7748420002826606,,,,,,,,,,,,,
A3_0003,acoustic,7144.867168422,7145.371565967,504.397544999847,4.802650237290861,82.0968220968221,100.0,51.8,False,0.1284512213183071,3.5680894810640864e-05,0.32302125000000004,0.3232921875,0.0006516871356425243,5.3026744034012605,6.83875216467375e-05,0.636840578425456
A3_0003,vocoder,7145.371565967,7146.20717679,835.6108230000245,8.355263182455264,95.62473578295891,97.5609756097561,54.55,False,0.2591205112471112,7.197791979086423e-05,0.32291145833333335,0.3232921875,0.0009030791330700707,3.9204734184544443,0.00017181257909447634,0.7498649456286733
A3_0003,write,7146.20717679,7146.284634139,77.45734900072421,,,,,,,,,,,,,
B1_0004,front_end,7204.866468928,7204.867138946,0.6700179992549238,,,,,,,,,,,,,
B1_0004,acoustic,7204.867138946,7205.247987236,380.84829000035825,3.466874149045692,74.92921151377506,97.5609756097561,52.9,False,0.09691427701245262,2.692063250345906e-05,0.324215234375,0.3287375,0.00042861300355372475,5.07101922368025,6.437168853251775e-05,0.79787597386732
B1_0004,vocoder,7205.247987236,7205.746437553,498.45031699987885,3.7600230917132427,94.9103285700593,97.67441860465117,53.45,False,0.12918407112902658,3.588446420250738e-05,0.322989375,0.32353125,0.00034904946797530384,3.0100013549588,8.022947526475822e-05,0.715957812893204
B1_0004,write,7205.746437553,7205.805449603,59.01205000009213,,65.0,65.0,52.9,False,,,0.32313281250000003,0.32313281250000003,,1.7776230349,,0.48514819505829
B2_0005,front_end,7264.866533766,7264.867316841,0.7830749991626362,,,,,,,,,,,,,
B2_0005,acoustic,7264.867316841,7265.390209482,522.8926409999985,4.721566632869245,81.64252093648756,100.0,53.45,False,0.12898988636204148,3.5830523989455965e-05,0.322479375,0.32313281250000003,0.0006118919876243025,5.5540218902708,7.651868605280841e-05,0.669802818747892
B2_0005,vocoder,7265.390209482,7266.263052424,872.842942000716,8.067040028863715,96.19176667957156,100.0,55.65,False,0.25921213450171143,7.200337069491984e-05,0.323,0.323371875,0.0008221030434067706,3.648977781835889,0.000179722533531321,0.7855335099180067
B2_0005,write,7266.263052424,7266.344501802,81.44937799988838,,76.3157894736842,76.3157894736842,55.1,False,,,0.3229734375,0.3229734375,,1.43328347617,,0.6496193484808
B3_0006,front_end,7324.866618157,7324.867306173,0.68801599991275,,,,,,,,,,,,,
B3_0006,acoustic,7324.867306173,7325.28087096,413.5647870007233,3.7307295764679287,78.76524390243902,100.0,53.45,False,0.09608491844602585,2.669025512389607e-05,0.3226546875,0.323053125,0.0005060773207752497,5.65030223717095,5.6638839547084666e-05,0.6704232119542601
B3_0006,vocoder,7325.28087096,7325.958459693,677.5887329995385,5.983485715446562,96.07254936523229,97.5609756097561,55.1,False,0.19418402672923185,5.3940007424786624e-05,0.32283683035714283,0.32313281250000003,0.0006050541934191266,3.8076988016937148,0.0001301625182096851,0.7629904429069743
B3_0006,write,7325.958459693,7326.02669993,68.24023700028192,,74.35897435897436,74.35897435897436,54.0,False,,,0.3232125,0.3232125,,2.019117521408,,0.43325935640588
B4_0007,front_end,7384.866698087,7384.867388668,0.690580999616941,,,,,,,,,,,,,
B4_0007,acoustic,7384.867388668,7385.242517077,375.1284090003537,2.75904279823533,76.69450067476383,97.5,52.35,False,0.09599892531611048,2.6666368143364025e-05,0.322575,0.323053125,0.00025018504898399025,3.13157782475175,6.514246903041488e-05,0.74346343556443
B4_0007,vocoder,7385.242517077,7385.751805006,509.2879289995835,4.238834836588538,95.55465716441326,97.5609756097561,54.0,False,0.12840443568323653,3.566789880089904e-05,0.32287781249999997,0.323371875,0.0004813692056801432,4.459716609374199,7.420173680697602e-05,0.674935723551676
B4_0007,write,7385.751805006,7385.816176473,64.3714670004556,,67.56756756756756,67.56756756756756,54.0,False,,,0.3239296875,0.3239296875,,1.3715342282279999,,0.70915169838978
C1_0008,front_end,7444.866771786,7444.867625152,0.8533660002285615,,,,,,,,,,,,,
C1_0008,acoustic,7444.867625152,7445.607997663,740.372510999805,7.749574647929231,86.33428523231154,100.0,55.65,False,0.22545194989629103,6.262554163785862e-05,0.32285390625000004,0.3234515625,0.0009387478173124608,4.5203201927395495,0.00013570596791668958,0.6902100649274012
C1_0008,vocoder,7445.607997663,7446.885809761,1277.8120980001404,11.53748835350307,95.65295646088329,100.0,56.75,False,0.3559742242343819,9.888172895399498e-05,0.32352877604166663,0.32995625,0.0012634563019898195,4.2313552632652165,0.0002327364741378649,0.7598352448677016
C1_0008,write,7446.885809761,7446.986587859,100.77809799986426,,92.3076923076923,92.3076923076923,56.75,False,,,0.32361093750000003,0.32361093750000003,,2.06329819097,,0.5601163799193799
C2_0009,front_end,7504.866850102,7504.867553158,0.7030560000202968,,,,,,,,,,,,,
C2_0009,acoustic,7504.867553158,7505.306365015,438.81185699956404,4.272702180335429,82.57142857142858,100.0,53.45,False,0.1291500921736802,3.587502560380006e-05,0.32298937499999997,0.3234515625,0.0004847009586148429,4.403351019179359,8.111329669728986e-05,0.7351756012366959
C2_0009,vocoder,7505.306365015,7505.986638325,680.2733100003024,4.999706497666429,95.90301974448316,97.61904761904762,54.55,False,0.1623253164385942,4.509036567738728e-05,0.32306640625,0.323371875,0.000503361122615474,3.5708765277136667,0.00010895705971475814,0.7680580482954232
C2_0009,write,7505.986638325,7506.0572412,70.60287500007689,,92.10526315789474,92.10526315789474,54.55,False,,,0.32377031250000005,0.32377031250000005,,1.4402806098179999,,0.38288883313059996
