cadence_requested,cadence_achieved,duration_s,n_utterances,synth_time_total_s,play_time_total_s,duty_synth,duty_play,duty_active,energy_wh_profiler,p_use_profiler_w,totaliser_mwh,p_use_meter_w,discrepancy_pct,amp_energy_wh,amp_mean_w,cpu_energy_wh,cpu_mean_w,mem_mean_w,peak_temp,throttled_any,mean_arm_freq_khz
0,0.0,599.8,0,0.0,0.0,0.0,0.0,0.0,0.923204,5.5411,895.0,5.3718,3.15,0.052875,0.3174,0.065413,0.3926,0.4242,52.35,False,1507.5
1,1.0,599.8,10,11.865,40.447,0.0198,0.0674,0.0872,0.959291,5.7577,943.0,5.6599,1.73,0.054116,0.3248,0.088558,0.5318,0.4339,56.75,False,1577.3
2,2.001,599.8,20,23.314,80.938,0.0389,0.1349,0.1738,0.98357,5.9034,975.0,5.852,0.88,0.054186,0.3252,0.104235,0.6259,0.4307,59.5,False,1654.0
5,5.002,599.8,50,58.001,202.291,0.0967,0.3373,0.434,1.044615,6.2698,1060.0,6.3621,-1.45,0.055026,0.3303,0.161865,0.9718,0.4718,62.8,False,1885.0
10,9.342,603.7,94,108.055,377.346,0.179,0.6251,0.804,1.153478,6.8784,1197.0,7.138,-3.64,0.056371,0.3362,0.249465,1.4878,0.5039,71.05,False,2217.1
max,11.623,604.0,117,133.611,470.585,0.2212,0.7791,1.0003,1.208065,7.2004,1252.0,7.4623,-3.51,0.056979,0.3396,0.288687,1.7206,0.5168,74.9,False,2297.0
