t_mono,t_wall,cpu0,cpu1,cpu2,cpu3,cpu_total,arm_freq_hz,temp_c,mem_used_mb,pmic_power_w,cpu_power_w,mem_power_w,ext5v_v,throttled,ina_bus_v,ina_current_a,ina_power_w
2727.726103902,1784280039.9401703,,,,,,2400000,56.75,2948.203125,5.43725146385072,3.0240706310400003,0.86301955281374,5.171059,0x0,5.055,0.06375,0.32225624999999997
2727.828048541,1784280040.042115,100.0,100.0,100.0,100.0,97.5609756097561,2400000,58.4,2924.671875,9.00363040526134,6.869251086627901,0.6907342436371999,5.07056,0x0,5.0512500000000005,0.06375,0.3220171875
2727.928134786,1784280040.1422033,100.0,90.9090909090909,100.0,100.0,97.5,2400000,57.3,2928.796875,9.08758661920153,7.144966475282899,0.5425010547495,5.18044,0x0,5.0512500000000005,0.0625,0.31570312500000003
2728.02804593,1784280040.2421129,90.9090909090909,100.0,100.0,100.0,100.0,2400000,60.6,2919.59375,9.41841859675131,7.40943778468,0.6008337149691,5.15096,0x0,5.0525,0.06375,0.322096875
2728.128060746,1784280040.3421273,100.0,100.0,90.9090909090909,100.0,95.1219512195122,2400000,60.05,2928.859375,8.70154663541514,6.524624376468001,0.59809676818592,5.15498,0x0,5.06375,0.06375,0.3228140625
2728.226498883,1784280040.4405658,90.0,90.0,100.0,90.0,97.29729729729729,2400000,60.05,2950.15625,6.17741269191634,3.76433792093,0.91315593951612,5.16436,0x0,5.05625,0.06375,0.3223359375
2728.327562873,1784280040.5416296,100.0,100.0,100.0,100.0,97.61904761904762,2400000,60.6,2968.078125,5.77882758258472,3.486580929778,0.8092414837166799,5.12148,0x0,5.0600000000000005,0.0625,0.31625000000000003
2728.428135435,1784280040.642205,100.0,100.0,100.0,100.0,97.5,2400000,59.5,2971.65625,6.14364414072957,3.713730592017,0.9015652945585799,5.10004,0x0,5.055,0.06375,0.32225624999999997
2728.527530743,1784280040.7415972,90.0,90.0,100.0,100.0,97.5,2400000,59.5,2954.703125,5.41479819521914,3.439358614702,0.5320000955251,5.0652,0x0,5.0575,0.06375,0.32241562500000004
2728.627526094,1784280040.8415926,90.9090909090909,100.0,100.0,90.9090909090909,94.87179487179488,2400000,60.6,2957.921875,5.525386353226195,3.45878622798,0.6795390273232,5.13756,0x0,5.055,0.06375,0.32225624999999997
2728.72811962,1784280040.9421883,100.0,100.0,100.0,100.0,97.61904761904762,2400000,62.25,2967.390625,7.279776771775739,5.1157499185578,0.5599774114832,5.12148,0x0,5.0687500000000005,0.06375,0.32313281250000003
2728.82617687,1784280041.0402434,30.0,20.0,80.0,11.11111111111111,34.21052631578947,2400000,60.6,2988.65625,4.04501446368214,1.9367051929019998,0.546096448716,5.14828,0x0,5.0600000000000005,0.06375,0.32257500000000006
2728.926170297,1784280041.140237,100.0,0.0,0.0,10.0,28.205128205128204,2400000,60.05,3004.71875,3.973876764275145,1.9518556898080002,0.5294540075417999,5.14292,0x0,5.05625,0.06375,0.3223359375
2729.026241337,1784280041.2403088,100.0,40.0,30.0,30.0,48.78048780487805,2400000,58.95,3009.5625,4.73351811481154,2.9199131488659997,0.50232976285824,5.1121,0x0,5.05375,0.06375,0.3221765625
2729.126172205,1784280041.3402388,40.0,36.36363636363637,33.333333333333336,33.333333333333336,39.02439024390244,2400000,60.05,3015.078125,2.6665594248626703,0.810649742138,0.44233741089982,5.11612,0x0,5.0575,0.06375,0.32241562500000004
2729.226173557,1784280041.4402401,0.0,0.0,9.090909090909092,16.666666666666668,5.0,2400000,58.4,3015.078125,2.6508645447387096,0.8022899542194999,0.427832485524,5.13488,0x0,5.0575,0.06375,0.32241562500000004
2729.326172372,1784280041.540239,0.0,9.090909090909092,0.0,18.181818181818183,5.0,2400000,59.5,3015.0625,2.6517834745722246,0.8108968897109999,0.41736599378069,5.14962,0x0,5.03875,0.135,0.6802312500000001
2729.426171002,1784280041.6402376,0.0,10.0,0.0,10.0,5.0,2400000,59.5,3015.0625,2.68756741014404,0.8022899542194999,0.39458407309560006,5.1456,0x0,5.05625,0.065,0.32865625000000004
2729.526184688,1784280041.7402513,0.0,0.0,0.0,0.0,2.5641025641025643,2400000,57.3,3015.0625,2.5419554821078445,0.826138754805,0.2910418198564,5.13354,0x0,5.05625,0.06625,0.3349765625
2729.626171448,1784280041.840238,0.0,10.0,0.0,10.0,2.5641025641025643,2400000,59.5,3015.0625,2.66671839771714,0.8022899542194999,0.43461282924815,5.1121,0x0,5.05625,0.06625,0.3349765625
2729.726188893,1784280041.9402554,0.0,0.0,0.0,0.0,5.0,2400000,57.85,3015.0625,2.56988382255799,0.8108968897109999,0.32185992088439996,5.1255,0x0,5.05375,0.0725,0.36639687499999996
2729.826172319,1784280042.0402389,0.0,10.0,10.0,10.0,2.5641025641025643,2400000,58.95,3015.0625,2.69333925472589,0.8027792681577799,0.27145167827169997,5.13488,0x0,5.05625,0.06625,0.3349765625
2729.926171282,1784280042.1402378,0.0,0.0,0.0,10.0,2.5641025641025643,2400000,58.95,3014.34375,2.824504490288329,0.794908970446,0.5335134973742,5.14024,0x0,5.05875,0.06625,0.3351421875
2730.02618495,1784280042.240252,0.0,10.0,0.0,0.0,5.0,2400000,58.95,3014.34375,2.6438307910481598,0.794666802241,0.432912112192,5.13488,0x0,5.055,0.07375,0.37280624999999995
2730.126172358,1784280042.3402388,10.0,0.0,16.666666666666668,0.0,5.0,2400000,58.95,3014.34375,2.7973872355926197,0.795151319037,0.38853212023445993,5.10272,0x0,5.05625,0.0675,0.34129687500000006
2730.226173192,1784280042.4402397,0.0,10.0,0.0,18.181818181818183,5.0,2400000,58.95,3014.34375,2.7473762479144197,0.8104027785229999,0.3744448720385,5.13488,0x0,5.0575,0.065,0.3287375
2730.326172266,1784280042.5402389,0.0,0.0,0.0,0.0,5.0,2400000,59.5,3014.34375,2.9679930489346895,0.794908970446,0.36844030673417005,5.1389,0x0,5.05875,0.065,0.32881875
2730.426171748,1784280042.6402383,0.0,0.0,9.090909090909092,10.0,2.5641025641025643,2400000,57.3,3014.34375,3.8468349454590096,1.959726075654,0.36889825253674,5.13354,0x0,5.0575,0.06375,0.32241562500000004
2730.526995173,1784280042.7410622,0.0,9.090909090909092,0.0,10.0,5.0,2400000,58.95,3014.34375,2.61410680022061,0.778930825959,0.43861842357979997,5.13354,0x0,5.05625,0.06375,0.3223359375
2730.626172009,1784280042.8402386,0.0,10.0,0.0,18.181818181818183,5.0,2400000,58.95,3014.34375,2.57769891865907,0.9447342404400001,0.26477947915968003,5.10942,0x0,5.0575,0.06375,0.32241562500000004
2730.726169417,1784280042.940236,0.0,0.0,10.0,0.0,5.0,2400000,57.85,3014.34375,2.6756530136547103,0.8104027785229999,0.4407873889764001,5.14024,0x0,5.055,0.065,0.328575
2730.826169991,1784280043.0402365,10.0,10.0,0.0,0.0,5.0,2400000,57.3,3013.375,2.380628943761055,0.78703849646578,0.2704196831653,5.13488,0x0,5.0575,0.06375,0.32241562500000004
2730.926171937,1784280043.1402383,9.090909090909092,0.0,0.0,0.0,5.0,2400000,58.95,3012.78125,3.6290321027363444,1.739355271966,0.39486029702750003,5.13354,0x0,5.0575,0.06375,0.32241562500000004
2731.02617216,1784280043.2402387,0.0,10.0,0.0,0.0,2.5641025641025643,2400000,58.95,3012.78125,2.4590679948050145,0.7944244536499999,0.29223608296048004,5.13622,0x0,5.055,0.06625,0.33489375
2731.126168475,1784280043.340235,18.181818181818183,9.090909090909092,0.0,0.0,5.0,2400000,58.95,3012.78125,2.65811666625762,0.7865587769194999,0.36124672705942,5.1121,0x0,5.05875,0.0625,0.316171875
2731.22616705,1784280043.4402337,0.0,0.0,9.090909090909092,0.0,2.5,2400000,58.4,3012.78125,2.47550915014914,0.795151319037,0.3057670739742,5.13488,0x0,5.05625,0.065,0.32865625000000004
2731.326167773,1784280043.5402343,16.666666666666668,9.090909090909092,0.0,0.0,7.317073170731708,2400000,57.3,3012.78125,2.5579992896267703,0.794908970446,0.38727668966364,5.12818,0x0,5.0525,0.08,0.4042
2731.42616883,1784280043.6402354,0.0,10.0,0.0,0.0,5.0,2400000,58.95,3012.78125,3.09742865338699,1.4324102239719998,0.28969804244711,5.13354,0x0,5.05625,0.06625,0.3349765625
2731.526169312,1784280043.7402358,10.0,0.0,0.0,0.0,2.5641025641025643,2400000,58.4,3012.78125,3.16756595365292,1.464338072682,0.29420806509435,5.1322,0x0,5.055,0.065,0.328575
2731.626170516,1784280043.8402374,0.0,0.0,10.0,0.0,2.5641025641025643,2400000,59.5,3012.78125,2.4361037007180504,0.842644681045,0.26402317507844003,5.1188,0x0,5.055,0.07,0.35385
