t_mono,t_wall,cpu0,cpu1,cpu2,cpu3,cpu_total,arm_freq_hz,temp_c,mem_used_mb,pmic_power_w,cpu_power_w,mem_power_w,ext5v_v,throttled,ina_bus_v,ina_current_a,ina_power_w
6083.365662953,1784211889.0581238,,,,,,2400000,62.25,1267.203125,4.52466376432221,1.9429540086239998,0.86208296531632,5.1054,0x0,5.0600000000000005,-0.00025,-0.001265
6083.465756374,1784211889.158217,11.11111111111111,100.0,0.0,18.181818181818183,33.333333333333336,2400000,62.8,1268.921875,4.040162138172841,1.73502555968,0.6990613385621001,5.12148,0x0,5.06125,-0.00025,-0.0012653125000000002
6083.565748611,1784211889.2582097,0.0,100.0,0.0,0.0,26.829268292682926,2400000,62.25,1574.5625,4.298131264913399,1.913767959246,0.8518410155911199,5.11478,0x0,5.0575,-0.00025,-0.001264375
6083.665742477,1784211889.358203,0.0,100.0,0.0,10.0,27.5,2400000,62.25,1574.5625,4.19595855533526,1.873866795724,0.83213784256122,5.11344,0x0,5.05875,-0.00025,-0.0012646875
6083.765739066,1784211889.4581997,0.0,100.0,0.0,0.0,25.0,2400000,62.8,1574.5625,4.25154980621787,1.9215160076640003,0.82659275432642,5.11612,0x0,5.0600000000000005,-0.00025,-0.001265
6083.865743524,1784211889.5582047,0.0,100.0,0.0,0.0,25.641025641025642,2400000,62.25,1558.125,4.30595508625078,1.957828868578,0.84029398466602,5.11746,0x0,5.05875,-0.00025,-0.0012646875
6083.965722631,1784211889.6581821,0.0,100.0,0.0,0.0,25.0,2400000,62.8,1556.09375,3.657038984554185,1.817972815725,0.44288015437007994,5.12416,0x0,5.0600000000000005,-0.00025,-0.001265
6084.065745998,1784211889.7582073,0.0,100.0,0.0,0.0,26.829268292682926,2400000,62.25,1556.09375,4.29231340031931,1.922705712272,0.8269487404943399,5.12148,0x0,5.05625,-0.00025,-0.0012640625000000002
6084.165744179,1784211889.8582046,0.0,100.0,0.0,9.090909090909092,25.641025641025642,2400000,62.8,1752.75,4.273180537889944,1.9769756315699998,0.8554687028363,5.11746,0x0,5.05875,-0.00025,-0.0012646875
6084.265736378,1784211889.9581974,0.0,100.0,0.0,0.0,25.0,2400000,63.35,2090.359375,4.201401633618024,1.8595316203200003,0.8230864197618399,5.11746,0x0,5.05875,-0.00025,-0.0012646875
6084.365749467,1784211890.0582108,0.0,100.0,0.0,0.0,25.641025641025642,2400000,62.8,2450.734375,4.282876134686171,1.9602562497540001,0.7661090694670799,5.12148,0x0,5.05875,-0.00025,-0.0012646875
6084.465726148,1784211890.1581857,0.0,100.0,0.0,0.0,23.076923076923077,2400000,61.15,2713.5,3.61167665182726,1.803618661392,0.44260995897324,5.12014,0x0,5.065,-0.00025,-0.0012662500000000002
6084.565727588,1784211890.2581873,20.0,90.9090909090909,10.0,0.0,30.76923076923077,2400000,62.25,2723.1875,3.8607879855961498,1.756084379445,0.6625294707889,5.1322,0x0,5.05875,-0.00025,-0.0012646875
