sentence_id,stage,t_start,t_end,duration_ms,energy_j,mean_cpu,peak_cpu,peak_temp,throttled_any,amp_energy_j,amp_energy_wh,amp_mean_w,amp_peak_w,cpu_energy_wh,cpu_mean_w,mem_energy_wh,mem_mean_w
REF,front_end,6089.340140693,6089.346165326,6.024633000379254,,,,,,,,,,,,,
REF,acoustic,6089.346165326,6089.781803648,435.63832200015895,3.7523802064772855,87.49070847851335,100.0,67.2,False,-0.0005051364358023177,-1.4031567661175492e-07,-0.0012635,-0.00126125,0.00035396995847018466,3.5842020531757,7.62511340350419e-05,0.665909494161544
REF,vocoder,6089.781803648,6090.487410735,705.6070869994073,6.0800181339533825,95.41502006154492,97.5,67.75,False,-0.0007583645948399387,-2.1065683189998296e-07,-0.0012639732142857144,-0.0012631250000000001,0.0006327445044931191,3.949575854258,0.00012553535206311908,0.7329503059143629
REF,write,6090.487410735,6090.565110138,77.69940300022427,,,,,,,,,,,,,
A1,front_end,6092.565503203,6092.565908646,0.4054430000905995,,0.0,0.0,63.35,False,,,-0.001258125,-0.001258125,,3.5375696491679998,,0.40146978383906
A1,acoustic,6092.565908646,6092.779622864,213.71421799995005,1.1595754454379212,95.09146341463415,97.5,65.0,False,-0.00012631763820537627,-3.5088232834826743e-08,-0.00126296875,-0.0012621875,0.00014328887949952078,5.1575517605089995,2.0204166218994496e-05,0.7272304272066
A1,vocoder,6092.779622864,6092.993561636,213.9387719998922,0.9799841075710588,93.68589743589743,94.87179487179488,66.1,False,-0.00012624527729485462,-3.506813258190406e-08,-0.0012626562499999999,-0.0012625,9.255277867803281e-05,3.332437054632,2.3333036581539686e-05,0.8401247030291701
A1,write,6092.993561636,6093.037524973,43.96333699969546,,,,,,,,,,,,,
A2,front_end,6095.037914131,6095.038560741,0.6466099994213437,,,,,,,,,,,,,
A2,acoustic,6095.038560741,6095.365739069,327.178327999718,2.8134490943340884,79.29660278745645,100.0,65.0,False,-0.0003768772247596654,-1.0468811798879593e-07,-0.001263828125,-0.0012603125,0.00026800111883954945,3.2545162834995,6.008382987043468e-05,0.714457469981715
A2,vocoder,6095.365739069,6095.82226847,456.5294010008074,3.210764658513484,95.62271062271063,97.61904761904762,67.2,False,-0.0003800792100357188,-1.0557755834325522e-07,-0.001264609375,-0.0012640625000000002,0.00035570518405192604,3.9645689581274,6.937507562474143e-05,0.8185373994778999
A2,write,6095.82226847,6095.883419913,61.15144299928943,,64.1025641025641,64.1025641025641,66.1,False,,,-0.0012659375,-0.0012659375,,1.455280293312,,0.6124004908089999
A3,front_end,6097.883770368,6097.884328848,0.5584800001088297,,,,,,,,,,,,,
A3,acoustic,6097.884328848,6098.362658714,478.32986599951255,2.9868699531600935,90.86677538287012,100.0,67.75,False,-0.00037906239640992057,-1.0529511011386682e-07,-0.0012633593750000002,-0.0012621875,0.00030446919418673107,4.034116709211251,6.320359984734691e-05,0.749264231399965
A3,vocoder,6098.362658714,6099.197636911,834.9781970000549,8.522115943509712,96.11284629577311,100.0,68.85,False,-0.0010134810854591945,-2.8152252373866513e-07,-0.0012641319444444447,-0.0012621875,0.0009234861409861891,3.996378706000445,0.00018797812971931764,0.841044051144991
A3,write,6099.197636911,6099.277212012,79.57510100004583,,52.5,52.5,67.75,False,,,-0.001264375,-0.001264375,,1.695772017618,,0.7677806411650401
B1,front_end,6101.277568838,6101.278213299,0.6444609998652595,,,,,,,,,,,,,
B1,acoustic,6101.278213299,6101.639230138,361.01683900051285,2.0004389648506615,90.28171677065609,100.0,66.1,False,-0.00025216456576668793,-7.004571271296887e-08,-0.0012639583333333333,-0.0012628125,0.00020510082770185204,3.425530671037334,4.086060176475412e-05,0.7147302050041601
B1,vocoder,6101.639230138,6102.139565506,500.3353679994689,4.27076740843933,95.62654399863703,97.43589743589743,67.75,False,-0.0005092581443046197,-1.4146059564017216e-07,-0.00126575,-0.0012634375,0.0004851203816979938,3.9600987890868007,7.925563155523783e-05,0.6820770705588
B1,write,6102.139565506,6102.200311505,60.74599900057365,,78.94736842105263,78.94736842105263,68.3,False,,,-0.0012684375,-0.0012684375,,2.16676712728,,0.8305477800871799
B2,front_end,6104.200667387,6104.201243478,0.5760909998571151,,,,,,,,,,,,,
B2,acoustic,6104.201243478,6104.73430284,533.0593620001309,4.4289564607460825,87.71695498909877,97.5609756097561,68.85,False,-0.0005044058323481391,-1.4011273120781642e-07,-0.001263875,-0.0012618750000000002,0.0005337776183809086,4.59240953692552,7.423328297946918e-05,0.634131902496394
B2,vocoder,6104.73430284,6105.687749377,953.4465369997633,8.877833029292727,92.21701063164478,97.61904761904762,69.4,False,-0.0011410122015035173,-3.1694783375097705e-07,-0.001264375,-0.0012631250000000001,0.0008609308696407138,3.611181348628951,0.00020461428003144287,0.8178549143333941
B2,write,6105.687749377,6105.770286989,82.53761200012377,,41.02564102564103,41.02564102564103,68.3,False,,,-0.001266875,-0.001266875,,1.77100741407,,0.466347374981
B3,front_end,6107.770641483,6107.771314814,0.6733310001436621,,,,,,,,,,,,,
B3,acoustic,6107.771314814,6108.20512679,433.8119759995607,3.030686894494714,92.93904817160632,100.0,67.75,False,-0.0003793871980721066,-1.0538533279780739e-07,-0.001264609375,-0.001264375,0.00031920956825760014,4.12936268362925,5.292215741217066e-05,0.600225229620535
B3,vocoder,6108.20512679,6108.904234356,699.1075660007482,6.286913056770453,94.70051798417025,97.5,69.4,False,-0.0007614067228735879,-2.1150186746488551e-07,-0.001264107142857143,-0.0012625,0.000677341719520391,3.9418879566612284,0.00013397899210918504,0.8035826664919458
B3,write,6108.904234356,6108.977411548,73.17719200000283,,52.77777777777778,52.77777777777778,69.4,False,,,-0.001264375,-0.001264375,,1.9346135064999999,,0.72690188988674
B4,front_end,6110.977756893,6110.978235318,0.47842499952821527,,,,,,,,,,,,,
B4,acoustic,6110.978235318,6111.32610217,347.866852000152,1.9176203280788862,90.41506204535729,100.0,67.2,False,-0.0002539047750198728,-7.05291041721869e-08,-0.0012621875,-0.0012618750000000002,0.00019485719989940087,3.3723199402299997,3.47187368193544e-05,0.6561511817208799
B4,vocoder,6111.32610217,6111.849737093,523.6349229999178,3.9323792361458474,95.5043153500926,97.43589743589743,69.4,False,-0.0005025644774033747,-1.3960124372315963e-07,-0.0012634375000000002,-0.0012631250000000001,0.0003864215020481842,3.5114948121472005,8.772283829144053e-05,0.7680758689704239
B4,write,6111.849737093,6111.91372951,63.99241700000857,,85.0,85.0,69.4,False,,,-0.001268125,-0.001268125,,2.344751569878,,0.74900467977656
C1,front_end,6113.914074912,6113.914920224,0.8453119999103365,,,,,,,,,,,,,
