super|{s y p e^ r}
but|{b y t}
ok|{o k e}
album|{a l b o^ m}
albums|{a l b o^ m}
sherlock holmes|{s^ e r l o^ k o l m s q}
sherlock|{s^ e r l o^ k}
holmes|{o l m s q}
stocker|{s t o k e}
champs élysées|{s^ a~ z e l i z e}
champs elysées|{s^ a~ z e l i z e}
bille|{b i j}
billes|{b i j}
test|{t e^ s t}
we|{w i k e^ n d}
